"session_id","phase_number","phase_name","confidence"
ebca4914-df16-11ef-af32-0242ac120003,5,Post Phase,4
ebca4914-df16-11ef-af32-0242ac120003,4,Intervention Phase,4
ec07d6f2-de1d-11ef-8bc0-0242ac120003,4,Intervention Phase,4
ec07d6f2-de1d-11ef-8bc0-0242ac120003,5,Post Phase,4
ec07d6f2-de1d-11ef-8bc0-0242ac120003,3,Pre phase ,4
ec10fbc2-de3d-11ef-9325-0242ac120003,3,Pre phase ,5
ec10fbc2-de3d-11ef-9325-0242ac120003,4,Intervention Phase,4
ec10fbc2-de3d-11ef-9325-0242ac120003,5,Post Phase,5
ecb1136a-dd79-11ef-af32-0242ac120003,3,Pre phase ,5
ecb1136a-dd79-11ef-af32-0242ac120003,4,Intervention Phase,4
ecb1136a-dd79-11ef-af32-0242ac120003,5,Post Phase,5
ed0f3e7e-dee4-11ef-8bc0-0242ac120003,5,Post Phase,4
ed0f3e7e-dee4-11ef-8bc0-0242ac120003,3,Pre phase ,3
ed0f3e7e-dee4-11ef-8bc0-0242ac120003,4,Intervention Phase,4
edb85526-dee0-11ef-a609-0242ac120003,3,Pre phase ,5
edb85526-dee0-11ef-a609-0242ac120003,5,Post Phase,4
edb85526-dee0-11ef-a609-0242ac120003,4,Intervention Phase,4
ee38d348-dd6b-11ef-a609-0242ac120003,5,Post Phase,4
ee38d348-dd6b-11ef-a609-0242ac120003,3,Pre phase ,4
ee38d348-dd6b-11ef-a609-0242ac120003,4,Intervention Phase,4
ee633630-df03-11ef-8b3e-0242ac120003,4,Intervention Phase,5
ee633630-df03-11ef-8b3e-0242ac120003,3,Pre phase ,5
ee705994-dd66-11ef-9db1-0242ac120003,3,Pre phase ,4
ee705994-dd66-11ef-9db1-0242ac120003,4,Intervention Phase,3
ee705994-dd66-11ef-9db1-0242ac120003,5,Post Phase,3
eeadf1b2-de1c-11ef-8bc0-0242ac120003,5,Post Phase,4
eeadf1b2-de1c-11ef-8bc0-0242ac120003,3,Pre phase ,4
eeadf1b2-de1c-11ef-8bc0-0242ac120003,4,Intervention Phase,4
eeee622c-dd79-11ef-b02c-0242ac120003,3,Pre phase ,4
eeee622c-dd79-11ef-b02c-0242ac120003,5,Post Phase,4
eeee622c-dd79-11ef-b02c-0242ac120003,4,Intervention Phase,4
ef958468-e2e1-11ef-b02c-0242ac120003,3,Pre phase ,3
ef958468-e2e1-11ef-b02c-0242ac120003,4,Intervention Phase,4
ef958468-e2e1-11ef-b02c-0242ac120003,5,Post Phase,4
f078fcd8-de37-11ef-9077-0242ac120003,3,Pre phase ,4
f078fcd8-de37-11ef-9077-0242ac120003,5,Post Phase,4
f078fcd8-de37-11ef-9077-0242ac120003,4,Intervention Phase,4
f095a482-deff-11ef-a87b-0242ac120003,4,Intervention Phase,4
f095a482-deff-11ef-a87b-0242ac120003,3,Pre phase ,3
f095a482-deff-11ef-a87b-0242ac120003,5,Post Phase,3
f2148bae-de17-11ef-9db1-0242ac120003,3,Pre phase ,4
f2148bae-de17-11ef-9db1-0242ac120003,4,Intervention Phase,4
f2148bae-de17-11ef-9db1-0242ac120003,5,Post Phase,4
f24cb72c-dd59-11ef-8bc0-0242ac120003,4,Intervention Phase,5
f24cb72c-dd59-11ef-8bc0-0242ac120003,3,Pre phase ,5
f24cb72c-dd59-11ef-8bc0-0242ac120003,5,Post Phase,5
f24eceda-dee0-11ef-a609-0242ac120003,4,Intervention Phase,3
f24eceda-dee0-11ef-a609-0242ac120003,5,Post Phase,3
f24eceda-dee0-11ef-a609-0242ac120003,3,Pre phase ,3
f25624cc-dfa9-11ef-b02c-0242ac120003,4,Intervention Phase,4
f25624cc-dfa9-11ef-b02c-0242ac120003,3,Pre phase ,4
f25624cc-dfa9-11ef-b02c-0242ac120003,5,Post Phase,4
f35155be-de31-11ef-8bc0-0242ac120003,5,Post Phase,3
f35155be-de31-11ef-8bc0-0242ac120003,4,Intervention Phase,4
f35155be-de31-11ef-8bc0-0242ac120003,3,Pre phase ,3
f41ee72c-dfcb-11ef-b02c-0242ac120003,4,Intervention Phase,4
f41ee72c-dfcb-11ef-b02c-0242ac120003,5,Post Phase,4
f41ee72c-dfcb-11ef-b02c-0242ac120003,3,Pre phase ,3
f42f36a2-dd70-11ef-8bc0-0242ac120003,3,Pre phase ,4
f42f36a2-dd70-11ef-8bc0-0242ac120003,5,Post Phase,5
f42f36a2-dd70-11ef-8bc0-0242ac120003,4,Intervention Phase,4
f4ae8698-dee5-11ef-af32-0242ac120003,3,Pre phase ,5
f4ae8698-dee5-11ef-af32-0242ac120003,5,Post Phase,5
